#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 01 22 04 00 220  8.0 10.0   5.5    11    MM  MM 1009.8   8.0   9.5    MM   MM +2.6    MM
2018 01 22 03 00 220 10.0 12.0   5.7    12    MM  MM 1008.8   8.1   9.5    MM   MM +3.1    MM
2018 01 22 02 00 220  9.0 12.0   5.1    11    MM  MM 1007.8   8.5   9.5    MM   MM +3.1    MM
2018 01 22 01 00 220 10.0 15.0   6.2    11    MM  MM 1007.2   7.8   9.5    MM   MM +3.2    MM
2018 01 22 00 00 230 11.0 15.0   5.7    12    MM  MM 1005.7   7.9   9.5    MM   MM +2.5    MM
2018 01 21 23 00 210 10.0 13.0   5.8    12    MM  MM 1004.7   8.5   9.5    MM   MM +1.8    MM
2018 01 21 22 00 200 10.0 13.0   5.7    12    MM  MM 1004.0   8.3   9.5    MM   MM +1.4    MM
2018 01 21 21 00 210 12.0 16.0   6.0    11    MM  MM 1003.2   7.7   9.5    MM   MM +1.1    MM
2018 01 21 20 00 180  9.0 11.0   5.1    16    MM  MM 1002.9   7.8   9.4    MM   MM +2.0    MM
2018 01 21 19 00 180  9.0 12.0   6.1    11    MM  MM 1002.6   7.9   9.4    MM   MM +3.2    MM
2018 01 21 18 00 200  6.0  9.0   6.2    12    MM  MM 1002.1   8.3   9.4    MM   MM +3.9    MM
2018 01 21 17 00 220  8.0 10.0   7.1    12    MM  MM 1000.9   8.1   9.4    MM   MM +3.8    MM
2018 01 21 16 00 240  8.0 10.0   6.1    11    MM  MM  999.4   7.8   9.4    MM   MM +3.4    MM
2018 01 21 15 00 230  8.0 10.0   6.7    12    MM  MM  998.2   7.9   9.4    MM   MM +3.5    MM
2018 01 21 14 00 230  7.0  9.0   6.5    10    MM  MM  997.1   7.4   9.4    MM   MM +1.8    MM
2018 01 21 13 00 250  7.0  9.0   6.9    11    MM  MM  996.0   7.4   9.4    MM   MM -0.7    MM
2018 01 21 12 00 180 16.0 23.0   7.1    10    MM  MM  994.7  10.1   9.5    MM   MM -3.1    MM
2018 01 21 11 00 160 18.0 21.0   6.6    10    MM  MM  995.3   9.8   9.5    MM   MM -3.8    MM
2018 01 21 10 00 160 17.0 21.0   5.8    10    MM  MM  996.7  10.2   9.6    MM   MM -3.3    MM
2018 01 21 09 00 160 17.0 22.0   5.7    10    MM  MM  997.8  10.1   9.7    MM   MM -2.7    MM
2018 01 21 08 00 160 16.0 19.0   5.5    10    MM  MM  999.1  10.2   9.8    MM   MM -1.6    MM
2018 01 21 07 00 170 16.0 20.0   4.9    10    MM  MM 1000.0  10.1   9.8    MM   MM -2.5    MM
2018 01 21 06 00 170 16.0 20.0   4.7     8    MM  MM 1000.5  10.1   9.8    MM   MM -2.6    MM
2018 01 21 05 00 170 16.0 19.0   4.3    11    MM  MM 1000.7  10.1   9.8    MM   MM -3.8    MM
2018 01 21 04 00 190  9.0 11.0   4.4     8    MM  MM 1002.5   9.0   9.8    MM   MM -2.6    MM
2018 01 21 03 00 210 10.0 17.0   4.2    10    MM  MM 1003.1   8.8   9.8    MM   MM -2.1    MM
2018 01 21 02 00 170  7.0  8.0   4.2     9    MM  MM 1004.5   8.4   9.8    MM   MM -0.6    MM
2018 01 21 01 00 200  8.0 10.0   4.4    12    MM  MM 1005.1   8.5   9.8    MM   MM -0.6    MM
2018 01 21 00 00 200 12.0 17.0   4.7    12    MM  MM 1005.2   8.9   9.8    MM   MM -2.0    MM
2018 01 20 23 00 170 15.0 18.0   4.7    12    MM  MM 1005.1   9.6   9.8    MM   MM -3.3    MM
2018 01 20 22 00 170 15.0 20.0   4.2    12    MM  MM 1005.7   9.4   9.8    MM   MM -3.8    MM
2018 01 20 21 00 160 15.0 19.0   4.1    12    MM  MM 1007.2   9.0   9.8    MM   MM -3.1    MM
2018 01 20 20 00 160 14.0 19.0   3.7    12    MM  MM 1008.4   9.3   9.8    MM   MM -2.3    MM
2018 01 20 19 00 160 12.0 14.0   3.7    13    MM  MM 1009.5   9.2   9.7    MM   MM -1.5    MM
2018 01 20 18 00 160 12.0 15.0   3.6    13    MM  MM 1010.3   9.4   9.6    MM   MM -1.3    MM
2018 01 20 17 00 160 10.0 13.0   3.8    13    MM  MM 1010.7   9.2   9.5    MM   MM -1.2    MM
2018 01 20 16 00 170  9.0 11.0   4.4    13    MM  MM 1011.0   8.9   9.5    MM   MM -1.0    MM
2018 01 20 15 00 160  6.0  8.0   4.4    13    MM  MM 1011.6   8.4   9.5    MM   MM -0.2    MM
2018 01 20 14 00 190  6.0  7.0   4.2    13    MM  MM 1011.9   8.8   9.5    MM   MM +0.5    MM
2018 01 20 13 00 240  5.0  7.0   4.9    11    MM  MM 1012.0   8.6   9.5    MM   MM +1.3    MM
2018 01 20 12 00 260  7.0 10.0   4.9    14    MM  MM 1011.8   8.4   9.5    MM   MM +1.7    MM
2018 01 20 11 00 250  8.0 11.0   5.0    14    MM  MM 1011.4   8.4   9.5    MM   MM +1.6    MM
2018 01 20 10 00 260 10.0 13.0   5.6    15    MM  MM 1010.7   7.9   9.4    MM   MM +1.1    MM
2018 01 20 09 00 270  8.0 11.0   5.2    14    MM  MM 1010.1   7.6   9.4    MM   MM +0.8    MM
2018 01 20 08 00 270  7.0 10.0   5.3    15    MM  MM 1009.8   7.8   9.4    MM   MM +0.8    MM
2018 01 20 07 00 200  6.0  9.0   4.7    14    MM  MM 1009.6   7.4   9.4    MM   MM +1.0    MM
2018 01 20 06 00 220  8.0 12.0   5.3    14    MM  MM 1009.3   7.9   9.2    MM   MM +1.6    MM
2018 01 20 05 00 230  9.0 12.0   5.2    14    MM  MM 1009.0   7.8   9.1    MM   MM +2.0    MM
2018 01 20 04 00 230  9.0 13.0   5.3    13    MM  MM 1008.6   7.8   9.1    MM   MM +2.1    MM
2018 01 20 03 00 230 10.0 13.0   5.0    13    MM  MM 1007.7   8.2   9.0    MM   MM +1.8    MM
2018 01 20 02 00 240 10.0 12.0   5.4    14    MM  MM 1007.0   8.3   9.0    MM   MM +1.9    MM
2018 01 20 01 00 240 10.0 12.0   4.9    14    MM  MM 1006.5   8.5   9.0    MM   MM +2.1    MM
2018 01 20 00 00 240 10.0 13.0   5.0    13    MM  MM 1005.9   8.3   9.0    MM   MM +1.8    MM
2018 01 19 23 00 240 10.0 13.0   5.0    14    MM  MM 1005.1   8.2   9.1    MM   MM +1.3    MM
2018 01 19 22 00 230 10.0 12.0   4.6    14    MM  MM 1004.4   8.8   9.2    MM   MM +0.5    MM
2018 01 19 21 00 230 10.0 13.0   4.8    12    MM  MM 1004.1   8.7   9.2    MM   MM +0.7    MM
2018 01 19 20 00 220 10.0 12.0   5.2    14    MM  MM 1003.8   8.9   9.4    MM   MM +1.0    MM
2018 01 19 19 00 210  9.0 11.0   5.1    13    MM  MM 1003.9   9.0   9.4    MM   MM +2.0    MM
